cited_by_count,avg_favourites_count,avg_statuses_count,avg_followers_count,author_id
137,105,899,144,265
90,3800,552,1428,266
396,96,76,34,267
28,3076,999,873,268
2273,20415,1757,757,269
409,37835,3015,2395,270
10,8032,9908,685,271
14,1131,1898,381,272
44,1173,93,149,273
15,1998,1390,2135,274
14,3244,4331.499661016953,1173,275
97,3244,4331.499661016953,1173,276
290,1154,520,272,277
10773,334,505,995,278
469,785,164,483,279
13,142,186,1210.333333333333,280
70,142,186,1210.333333333333,281
9001,4708,2627,2222,282
131,33,154,163,283
258,2073,1701,278,284
185,4052,1436,749,285
3,2657,981,480,286
197,310,518,194,287
1247,1956,259,473,288
44,1519,2084,399,289
10,4141,986,936,290
2264,1475,377,521,291
37152,3418,1354,791,292
2,1682,475,239,293
8179,271,113,374,294
1120,3908,1276,1325,295
53,940,644,506,296
29237,289,2918,788,297
2448,102,3210,425,298
4006,454,1395,183,299
751,3624,4302,190,300
8793,2091,463,509,301
5382,1257,421,240,302
7,2730,1241,312,303
104,1837,569,469,304
2,1837,569,469,305
114,6167,2036,325,306
1288,276,416,218,307
6,3039,588,289,308
865,1084,885,758,309
3420,331,278,203,310
139,4313,2495,843,311
281,2155,699,1301,312
959,111,788,503,313
3,111,788,503,314
17,55,1983,146,315
243,139,69,141,316
10613,2559,467,1606,317
259,7574,3554,2268,318
428,2421,608,934,319
741,331,688,511,320
2518,2151,534,709,321
5909,1922,918,1328,322
204,981,402,224,323
2154,1862,160,62,324
274,6,333,580,325
365,4757,592,417,326
6146,15733,3174,3212,327
136,995,2475,247,328
903,260,75,85,329
3404,794,632,629.5000000000001,330
10,794,632,629.5000000000001,331
628,994,393,235,332
769,425,222,472,333
36,3152,576,180,334
698,2217,1722,334,335
6,2217,1722,334,336
150,10,94,33,337
96,7710,758,607,338
960,5927,3134,1956,339
17046,98,149,534,340
9,2033,303,947,341
785,269,366,98,342
328,6333,13816,1532,343
337,581,159,96,344
141,1890,1281,2218,345
21,2473,347,324,346
2025,1640,1113,282,347
982,2365,352,412,348
2,2237,1580,354,349
98,1842,759,338,350
3527,614,1331,1230,351
1072,2027,1607,403,352
174,1453,2553,6217,353
986,24267,1304,927,354
24,672,121,215,355
262,4538,1348,1472,356
3468,521,295,955,357
157,1195,1161,147,358
15,116,214,41,359
1,2660,226,521,360
628,2062,1328,541,361
765,3221,2704,1527,362
5,594,931,349,363
830,7015,329,127,364
413,2288,658,631,365
273,109,323,107,366
246,2852,666,373,367
3885,10959,13079,6867,368
12422,804,189,448,369
2594,5846,2766,492,370
91,4696,1529,741,371
1269,1010.0000000000005,350,225,372
15,1010.0000000000005,350,225,373
3,1010.0000000000005,350,225,374
1124,843,408,471,375
523,2154,354,1151,376
219,986,321,1400,377
383,9562,3372,1631,378
343,206,116,213,379
3,2832,1906,1100,380
473,154,368,709,381
3913,42,6421,439,382
1743,214,100,60,383
1011,2323,1569,761,384
3577,518,492,484,385
1157,5690,414,230,386
2,19,282,741,387
44,4247,1779,613,388
722,864,255,77,389
64,901,918,729,390
89,512.4999999999994,303,221,391
3,512.4999999999994,303,221,392
1171,1476,478,5414,393
1330,737,4300,635,394
11,9211,2400,782,395
586,172,135,276,396
954,326,160,965,397
10,1721,320,297,398
527,5698,250,741.5000000000002,399
29,5698,250,741.5000000000002,400
1667,21,110,206,401
11,1186,407,141,402
971,301,409,455,403
2690,1024,1114,1064,404
92,838,416,432,405
3329,792,1317,58,406
